0	0	-0.324	-0.936	119.498813	25.957765	0.399909223	950	26	0.39	0.09	0.1472	33	4.04
0	0	-0.288	-0.936	119.498813	25.957765	0	1075	26	0.42	0.085	0.1474	32	4.47
7.7	0	-0.378	-0.9	119.498831	25.957766	1.803023534	1100	18	0.26	0	0.1471	25	2.74
8.3	0	-0.396	-0.9	119.498853	25.95777	2.244021515	937	17	0.24	0	0.147	21	2.59
8.4	0	-0.396	-0.918	119.498875	25.957776	2.298460088	925	16	61.06	0	0.1469	20	2.42
9.2	0	-0.324	-0.936	119.498898	25.957781	2.365735902	1400	34	0.73	0.105	0.147	42	7.57
12.5	-0.054	-0.306	-0.972	119.498928	25.957786	3.050413277	1562	32	0.8	0.105	0.1472	38	8.18
14.8	0	-0.396	-0.918	119.498966	25.957795	3.92873413	1550	13	0.29	0	0.1469	16	3.07
15.2	0	-0.396	-0.9	119.499006	25.957805	4.150802702	1037	25	0.46	0.07	0.1468	29	4.72
15.8	0	-0.36	-0.936	119.499049	25.957816	4.46963975	1175	25	0.44	0.07	0.147	29	4.64
16.9	0	-0.342	-0.936	119.499095	25.957826	4.731470288	1275	27	0.52	0.09	0.147	33	5.41
18.1	0	-0.378	-0.918	119.499141	25.957838	4.788615443	1175	17	0.27	0	0.1468	22	2.97
18.4	0	-0.342	-0.936	119.499191	25.957851	5.203671228	1350	33	0.72	0.1	0.1467	39	7.34
19.9	0	-0.324	-0.936	119.499245	25.957865	5.618730414	1537	36	0.85	0.115	0.1466	43	8.77
21.8	0	-0.36	-0.936	119.499301	25.95788	5.841890779	1612	38	0.96	0.125	0.1463	45	9.9
23.8	0	-0.342	-0.936	119.499365	25.957894	6.585190862	1700	37	1.01	0.115	0.1463	45	10.35
25.7	0	-0.36	-0.918	119.499433	25.95791	7.027387906	1737	37	1	0.12	0.1462	44	10.28
27	0	-0.378	-0.828	119.499508	25.957925	7.681556252	1575	13	0.29	0	0.1465	18	3.09
27.2	0	-0.378	-0.918	119.499585	25.957938	7.832783785	1400	37	0.83	0.12	0.1467	43	8.55
28.6	0	-0.378	-0.918	119.499665	25.957949	8.091158728	1587	41	1.01	0.13	0.1461	50	10.4
30.6	0	-0.342	-0.954	119.499748	25.95796	8.387765081	1750	48	1.38	0.14	0.1453	57	14.12
32.8	0	-0.342	-0.9	119.499836	25.95797	8.867977823	1775	47	1.31	0.14	0.1459	56	13.48
34.8	0	-0.324	-0.9	119.499931	25.957978	9.539394287	1800	47	1.31	0.135	0.1462	55	13.45
36.9	0	-0.324	-0.864	119.500033	25.957986	10.23639207	1825	46	1.29	0.14	0.1463	55	13.23
38.6	0	-0.36	-0.936	119.50014	25.957993	10.72583152	1850	46	1.33	0.135	0.1463	54	13.52
40	0	-0.36	-0.864	119.500249	25.957998	10.91167847	1600	17	0.29	0	0.1467	27	3.1
40	0	-0.306	-0.972	119.500361	25.958001	11.20240387	1612	40	1.08	0.125	0.1449	41	11.16
41	0	-0.306	-0.972	119.500475	25.958001	11.39738995	1700	47	1.23	0.13	0.1455	55	12.61
42.5	0	-0.342	-0.918	119.500591	25.958001	11.59734416	1687	45	1.24	0.13	0.1476	53	12.7
43.5	0	-0.396	-0.9	119.500713	25.958	12.19771363	1275	17	0.29	0	0.1471	22	3.04
43.7	0	-0.432	-0.882	119.500835	25.957996	12.20531381	1337	32	0.69	0.095	0.1471	36	7.02
43.3	0	-0.414	-0.864	119.500955	25.957995	11.99776838	1162	15	0.29	0	0.1467	19	3
43.2	0	-0.414	-0.882	119.501076	25.957993	12.09927428	1050	14	0.26	0	0.1468	18	2.72
42.4	0	-0.432	-0.918	119.501195	25.957991	11.89935461	1012	14	64.33	0	0.1469	18	2.55
41.5	0	-0.432	-0.846	119.501313	25.957991	11.79729937	1012	14	0.24	0	0.1467	18	2.61
38.7	0	-0.504	-0.882	119.501425	25.957991	11.19743669	962	15	0.24	0	0.1466	19	2.62
36.4	0	-0.486	-0.882	119.501528	25.957991	10.29764267	975	14	64.33	0	0.1465	18	2.55
33.9	0	-0.432	-0.882	119.501626	25.957993	9.800280689	975	14	60.04	0	0.1464	18	2.38
32.3	0	-0.414	-0.9	119.501716	25.957993	8.997940047	850	16	63.33	0	0.1464	20	2.51
30.1	0	-0.486	-0.864	119.501805	25.957995	8.900741635	812	17	56.77	0	0.1466	21	2.25
27	0	-0.414	-0.882	119.501881	25.957995	7.598260352	787	17	56.51	0	0.1465	22	2.24
25	0	-0.414	-0.918	119.501953	25.957995	7.198351911	800	17	59.04	0	0.1465	22	2.34
23.9	0	-0.414	-0.882	119.502021	25.957998	6.806622703	800	17	59.8	0	0.1464	21	2.37
23.5	0	-0.414	-0.882	119.502086	25.957998	6.498511978	787	16	52.73	0	0.1464	21	2.09
23.4	0	-0.396	-0.882	119.502151	25.957998	6.498511978	812	16	57.02	0.055	0.1463	20	2.26
24.1	0	-0.342	-0.936	119.502216	25.957998	6.498511978	1362	38	0.88	0.125	0.1467	41	9.13
25.8	0	-0.342	-0.954	119.502286	25.957998	6.998397514	1575	41	1	0.125	0.1475	49	10.28
